regcode,provcode,citycode,regcode_9,provcode_9,citycode_9,cityname,geographic_level,old_names,cityclass,incomeclass,addedby,UserLevelID,dateupdated,status
2,2015,201501,2,215,21501,ABULUG,Mun,,,3rd,ims,0,,A
2,2015,201502,2,215,21502,ALCALA,Mun,,,3rd,ims,0,,A
2,2015,201503,2,215,21503,ALLACAPAN,Mun,,,3rd,ims,0,,A
2,2015,201504,2,215,21504,AMULUNG,Mun,,,2nd,ims,0,,A
2,2015,201505,2,215,21505,APARRI,Mun,,,1st,ims,0,,A
2,2015,201506,2,215,21506,BAGGAO,Mun,,,1st,ims,0,,A
2,2015,201507,2,215,21507,BALLESTEROS,Mun,,,4th,ims,0,,A
2,2015,201508,2,215,21508,BUGUEY,Mun,,,3rd,ims,0,,A
2,2015,201509,2,215,21509,CALAYAN,Mun,,,3rd,ims,0,,A
2,2015,201510,2,215,21510,CAMALANIUGAN,Mun,,,4th,ims,0,,A
2,2015,201511,2,215,21511,CLAVERIA,Mun,,,3rd,ims,0,,A
2,2015,201512,2,215,21512,ENRILE,Mun,,,3rd,ims,0,,A
2,2015,201513,2,215,21513,GATTARAN,Mun,,,1st,ims,0,,A
2,2015,201514,2,215,21514,GONZAGA,Mun,,,1st,ims,0,,A
2,2015,201515,2,215,21515,IGUIG,Mun,,,4th,ims,0,,A
2,2015,201516,2,215,21516,LAL-LO,Mun,,,1st,ims,0,,A
2,2015,201517,2,215,21517,LASAM,Mun,,,3rd,ims,0,,A
2,2015,201518,2,215,21518,PAMPLONA,Mun,,,4th,ims,0,,A
2,2015,201519,2,215,21519,PE?ABLANCA,Mun,,,1st,ims,0,,A
2,2015,201520,2,215,21520,PIAT,Mun,,,4th,ims,0,,A
2,2015,201521,2,215,21521,RIZAL,Mun,,,5th,ims,0,,A
2,2015,201522,2,215,21522,SANCHEZ-MIRA,Mun,,,3rd,ims,0,,A
2,2015,201523,2,215,21523,SANTA ANA,Mun,,,2nd,ims,0,,A
2,2015,201524,2,215,21524,SANTA PRAXEDES,Mun,,,5th,ims,0,,A
2,2015,201525,2,215,21525,SANTA TERESITA,Mun,,,4th,ims,0,,A
2,2015,201526,2,215,21526,SANTO NI?O,Mun,Faire,,2nd,ims,0,,A
2,2015,201527,2,215,21527,SOLANA,Mun,,,1st,ims,0,,A
2,2015,201528,2,215,21528,TUAO,Mun,,,1st,ims,0,,A
2,2015,201529,2,215,21529,TUGUEGARAO CITY (CAPITAL),City,,CC,3rd,ims,0,,A
2,2031,203101,2,231,23101,ALICIA,Mun,,,1st,ims,0,,A
2,2031,203102,2,231,23102,ANGADANAN,Mun,,,3rd,ims,0,,A
2,2031,203103,2,231,23103,AURORA,Mun,,,3rd,ims,0,,A
2,2031,203104,2,231,23104,BENITO SOLIVEN,Mun,,,4th,ims,0,,A
2,2031,203105,2,231,23105,BURGOS,Mun,,,4th,ims,0,,A
2,2031,203106,2,231,23106,CABAGAN,Mun,,,1st,ims,0,,A
2,2031,203107,2,231,23107,CABATUAN,Mun,,,3rd,ims,0,,A
2,2031,203108,2,231,23108,CITY OF CAUAYAN,City,,CC,3rd,ims,0,,A
2,2031,203109,2,231,23109,CORDON,Mun,,,3rd,ims,0,,A
2,2031,203110,2,231,23110,DINAPIGUE,Mun,,,1st,ims,0,,A
2,2031,203111,2,231,23111,DIVILACAN,Mun,,,2nd,ims,0,,A
2,2031,203112,2,231,23112,ECHAGUE,Mun,,,1st,ims,0,,A
2,2031,203113,2,231,23113,GAMU,Mun,,,4th,ims,0,,A
2,2031,203114,2,231,23114,CITY OF ILAGAN (CAPITAL),City,,CC,1st (as Mu,ims,0,,A
2,2031,203115,2,231,23115,JONES,Mun,,,1st,ims,0,,A
2,2031,203116,2,231,23116,LUNA,Mun,,,5th,ims,0,,A
2,2031,203117,2,231,23117,MACONACON,Mun,,,3rd,ims,0,,A
2,2031,203118,2,231,23118,DELFIN ALBANO,Mun,Magsaysay,,4th,ims,0,,A
2,2031,203119,2,231,23119,MALLIG,Mun,,,4th,ims,0,,A
2,2031,203120,2,231,23120,NAGUILIAN,Mun,,,4th,ims,0,,A
2,2031,203121,2,231,23121,PALANAN,Mun,,,1st,ims,0,,A
2,2031,203122,2,231,23122,QUEZON,Mun,,,4th,ims,0,,A
2,2031,203123,2,231,23123,QUIRINO,Mun,,,4th,ims,0,,A
2,2031,203124,2,231,23124,RAMON,Mun,,,2nd,ims,0,,A
2,2031,203125,2,231,23125,REINA MERCEDES,Mun,,,4th,ims,0,,A
2,2031,203126,2,231,23126,ROXAS,Mun,,,1st,ims,0,,A
2,2031,203127,2,231,23127,SAN AGUSTIN,Mun,,,3rd,ims,0,,A
2,2031,203128,2,231,23128,SAN GUILLERMO,Mun,,,4th,ims,0,,A
2,2031,203129,2,231,23129,SAN ISIDRO,Mun,,,5th,ims,0,,A
2,2031,203130,2,231,23130,SAN MANUEL,Mun,,,4th,ims,0,,A
2,2031,203131,2,231,23131,SAN MARIANO,Mun,,,1st,ims,0,,A
2,2031,203132,2,231,23132,SAN MATEO,Mun,,,1st,ims,0,,A
